GEOGRAPHIC_REGION,REGION_COLOR,PROVINCE,DISTRICT,ZONE,YEAR,ECON_SCORE,ENVR_SCORE,FOREST_SCORE,AIR_SCORE,TEMP_SCORE
South East,#A5CD39,Binh Phuoc,Phu Rieng,urban,2021,58.88059701492537,50.28358208955224,7.238805970149253,68.98507462686567,74.6268656716418
South East,#A5CD39,Binh Phuoc,Phuoc Long,rural,2018,57.545731707317074,33.511178861788615,37.34756097560975,58.84146341463414,4.344512195121951
South East,#A5CD39,Binh Phuoc,Phuoc Long,rural,2019,75.07621951219511,61.3160569105691,17.22560975609756,70.76219512195122,95.96036585365854
South East,#A5CD39,Binh Phuoc,Phuoc Long,rural,2020,52.4390243902439,57.28150406504065,50.838414634146346,58.963414634146346,62.04268292682927
South East,#A5CD39,Binh Phuoc,Phuoc Long,rural,2021,45.579268292682926,69.4410569105691,52.21036585365854,75.39634146341464,80.71646341463415
South East,#A5CD39,Binh Phuoc,Phuoc Long,total,2018,61.21562952243126,31.741437530149533,32.56150506512301,58.46599131693198,4.196816208393633
South East,#A5CD39,Binh Phuoc,Phuoc Long,total,2019,80.68017366136036,61.186685962373375,17.221418234442837,70.39073806078149,95.9479015918958
South East,#A5CD39,Binh Phuoc,Phuoc Long,total,2020,43.198263386396526,59.175108538350216,49.78292329956584,65.00723589001448,62.73516642547034
South East,#A5CD39,Binh Phuoc,Phuoc Long,total,2021,44.2836468885673,68.59623733719246,49.131693198263385,76.26628075253257,80.39073806078147
South East,#A5CD39,Binh Phuoc,Phuoc Long,urban,2018,58.28358208955224,27.343283582089548,17.91044776119403,59.64179104477613,4.477611940298508
South East,#A5CD39,Binh Phuoc,Phuoc Long,urban,2019,79.1044776119403,61.5223880597015,16.417910447761194,72.17910447761194,95.97014925373136
South East,#A5CD39,Binh Phuoc,Phuoc Long,urban,2020,44.25373134328358,57.636815920398,50.223880597014926,59.99999999999999,62.6865671641791
South East,#A5CD39,Binh Phuoc,Phuoc Long,urban,2021,43.13432835820896,55.18407960199005,7.238805970149253,77.7910447761194,80.52238805970148
South East,#A5CD39,Binh Phuoc,Binh Long,rural,2018,60.51829268292683,25.543699186991876,21.79878048780488,47.89634146341464,6.935975609756097
South East,#A5CD39,Binh Phuoc,Binh Long,rural,2019,55.94512195121952,53.57723577235773,17.073170731707318,63.47560975609757,80.1829268292683
South East,#A5CD39,Binh Phuoc,Binh Long,rural,2020,58.15548780487805,53.9380081300813,50.838414634146346,44.81707317073171,66.15853658536585
South East,#A5CD39,Binh Phuoc,Binh Long,rural,2021,47.78963414634146,76.02642276422763,94.0548780487805,61.92073170731707,72.10365853658536
South East,#A5CD39,Binh Phuoc,Binh Long,total,2018,48.33574529667148,29.62373371924747,27.930535455861072,53.63241678726484,7.308248914616499
South East,#A5CD39,Binh Phuoc,Binh Long,total,2019,63.60347322720695,56.459237819585134,21.852387843704776,66.91751085383503,80.60781476121562
South East,#A5CD39,Binh Phuoc,Binh Long,total,2020,51.5918958031838,70.2653159671973,92.2575976845152,52.04052098408105,66.49782923299566
South East,#A5CD39,Binh Phuoc,Binh Long,total,2021,54.558610709117225,62.79305354558611,49.131693198263385,67.32272069464544,71.9247467438495
South East,#A5CD39,Binh Phuoc,Binh Long,urban,2018,41.492537313432834,29.13432835820895,24.47761194029851,55.61194029850746,7.313432835820896
South East,#A5CD39,Binh Phuoc,Binh Long,urban,2019,59.55223880597015,58.1044776119403,26.417910447761194,67.67164179104478,80.22388059701493
South East,#A5CD39,Binh Phuoc,Binh Long,urban,2020,56.04477611940299,55.83084577114427,50.223880597014926,50.776119402985074,66.49253731343283
South East,#A5CD39,Binh Phuoc,Binh Long,urban,2021,53.88059701492537,63.58706467661691,50.373134328358205,67.85074626865672,72.53731343283582
South East,#A5CD39,Binh Phuoc,Bu Dop,rural,2018,57.85060975609757,34.197154471544714,45.579268292682926,53.04878048780488,3.963414634146341
South East,#A5CD39,Binh Phuoc,Bu Dop,rural,2019,73.9329268292683,61.66666666666666,38.41463414634146,57.713414634146346,88.8719512195122
South East,#A5CD39,Binh Phuoc,Bu Dop,rural,2020,84.83231707317073,42.9979674796748,8.003048780487806,57.04268292682927,63.94817073170732
South East,#A5CD39,Binh Phuoc,Bu Dop,rural,2021,40.32012195121951,52.44918699186992,8.231707317073171,68.32317073170732,80.79268292682929
South East,#A5CD39,Binh Phuoc,Bu Dop,total,2018,63.0246020260492,34.486251808972504,47.178002894356005,52.5904486251809,3.690303907380608
South East,#A5CD39,Binh Phuoc,Bu Dop,total,2019,76.62807525325616,62.73516642547034,40.2315484804631,56.00578871201158,91.96816208393632
South East,#A5CD39,Binh Phuoc,Bu Dop,total,2020,79.45007235890014,43.81090207428847,7.597684515195368,59.65267727930536,64.18234442836469
South East,#A5CD39,Binh Phuoc,Bu Dop,total,2021,39.36324167872648,80.43415340086831,92.54703328509407,68.65412445730826,80.1013024602026
